         138206233 function calls (137099009 primitive calls) in 2668.676 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    29184    0.039    0.000    0.113    0.000 C:\Users\richa\anaconda3\envs\main-ddpg-tf27\lib\site-packages\scipy\sparse\sputils.py:198(isintlike)
      256    0.039    0.000    2.311    0.009 c:\Users\richa\My Drive\York\PhD Research\Systemic Risk\Reducing-Systemic-Risk-with-DDPG\network_gym\envs\model_network.py:480(_world_step)
     6144    0.038    0.000   15.306    0.002 C:\Users\richa\anaconda3\envs\main-ddpg-tf27\lib\site-packages\scipy\sparse\compressed.py:787(_get_submatrix)
   314220    0.038    0.000    0.074    0.000 {built-in method builtins.iter}
    30110    0.038    0.000    0.050    0.000 C:\Users\richa\anaconda3\envs\main-ddpg-tf27\lib\site-packages\gast\gast.py:15(create_node)
     2304    0.037    0.000    6.282    0.003 C:\Users\richa\anaconda3\envs\main-ddpg-tf27\lib\site-packages\scipy\sparse\coo.py:372(tocsr)
      768    0.035    0.000    0.882    0.001 C:\Users\richa\anaconda3\envs\main-ddpg-tf27\lib\site-packages\cvxpy\utilities\coeff_extractor.py:183(quad_form)
27663/21582    0.035    0.000    0.845    0.000 C:\Users\richa\anaconda3\envs\main-ddpg-tf27\lib\contextlib.py:116(__exit__)
      673    0.035    0.000    0.035    0.000 {method '_numpy_internal' of 'tensorflow.python.framework.ops.EagerTensor' objects}
    37632    0.034    0.000    0.034    0.000 C:\Users\richa\anaconda3\envs\main-ddpg-tf27\lib\site-packages\scipy\sparse\base.py:66(__init__)
   117504    0.033    0.000    0.042    0.000 C:\Users\richa\anaconda3\envs\main-ddpg-tf27\lib\site-packages\scipy\sparse\sputils.py:290(<genexpr>)
    13056    0.033    0.000    0.045    0.000 C:\Users\richa\anaconda3\envs\main-ddpg-tf27\lib\site-packages\cvxpy\interface\numpy_interface\ndarray_interface.py:32(const_to_matrix)
    12288    0.032    0.000    0.118    0.000 C:\Users\richa\anaconda3\envs\main-ddpg-tf27\lib\site-packages\cplex-20.1.0.0-py3.7.egg\cplex\_internal\_procedural.py:289(getchannels)
     1437    0.032    0.000    0.053    0.000 {built-in method tensorflow.python._pywrap_tfe.TFE_Py_EncodeArg}
   181112    0.031    0.000    0.044    0.000 C:\Users\richa\anaconda3\envs\main-ddpg-tf27\lib\enum.py:610(__hash__)
      282    0.031    0.000    1.586    0.006 C:\Users\richa\anaconda3\envs\main-ddpg-tf27\lib\site-packages\numpy\lib\npyio.py:1560(genfromtxt)
     2304    0.031    0.000   68.959    0.030 C:\Users\richa\anaconda3\envs\main-ddpg-tf27\lib\site-packages\scipy\sparse\coo.py:330(tocsc)
    20669    0.031    0.000    0.084    0.000 C:\Users\richa\anaconda3\envs\main-ddpg-tf27\lib\tokenize.py:487(_tokenize)
69006/68094    0.031    0.000    0.100    0.000 <frozen importlib._bootstrap>:1009(_handle_fromlist)
28002/20696    0.031    0.000 2665.578    0.129 C:\Users\richa\anaconda3\envs\main-ddpg-tf27\lib\site-packages\tensorflow\python\util\traceback_utils.py:138(error_handler)
     1536    0.031    0.000   46.603    0.030 C:\Users\richa\anaconda3\envs\main-ddpg-tf27\lib\site-packages\cplex-20.1.0.0-py3.7.egg\cplex\_internal\_subinterfaces.py:1187(_add)
     7680    0.031    0.000    0.108    0.000 C:\Users\richa\anaconda3\envs\main-ddpg-tf27\lib\site-packages\cvxpy\expressions\expression.py:480(broadcast)
       94    0.030    0.000    4.774    0.051 c:\Users\richa\My Drive\York\PhD Research\Systemic Risk\Reducing-Systemic-Risk-with-DDPG\importing_modules.py:50(sample_liability_network)
29184/10752    0.030    0.000    0.102    0.000 C:\Users\richa\anaconda3\envs\main-ddpg-tf27\lib\site-packages\cvxpy\expressions\expression.py:177(is_constant)
     6144    0.030    0.000    0.077    0.000 C:\Users\richa\anaconda3\envs\main-ddpg-tf27\lib\site-packages\scipy\sparse\_index.py:246(_unpack_index)
      768    0.030    0.000    0.102    0.000 C:\Users\richa\anaconda3\envs\main-ddpg-tf27\lib\site-packages\scipy\sparse\dia.py:370(tocsc)
    35328    0.029    0.000    0.052    0.000 C:\Users\richa\anaconda3\envs\main-ddpg-tf27\lib\site-packages\scipy\sparse\sputils.py:91(to_native)
      768    0.029    0.000   20.796    0.027 C:\Users\richa\anaconda3\envs\main-ddpg-tf27\lib\site-packages\cvxpy\reductions\solvers\qp_solvers\qp_solver.py:64(apply)
     9216    0.029    0.000    0.032    0.000 C:\Users\richa\anaconda3\envs\main-ddpg-tf27\lib\site-packages\cvxpy\utilities\shape.py:23(sum_shapes)
     6144    0.029    0.000    0.029    0.000 {built-in method cplex._internal.py37_cplex2010.CPXXaddfuncdest}
18432/5376    0.029    0.000    0.404    0.000 C:\Users\richa\anaconda3\envs\main-ddpg-tf27\lib\site-packages\cvxpy\atoms\atom.py:169(is_convex)
87545/46073    0.029    0.000    0.405    0.000 {built-in method builtins.all}
    47677    0.028    0.000    0.228    0.000 C:\Users\richa\anaconda3\envs\main-ddpg-tf27\lib\site-packages\numpy\core\fromnumeric.py:2367(all)
     6144    0.028    0.000    0.028    0.000 {built-in method cplex._internal.py37_cplex2010.CPXXdelfuncdest}
    26540    0.028    0.000    0.232    0.000 C:\Users\richa\anaconda3\envs\main-ddpg-tf27\lib\site-packages\numpy\core\fromnumeric.py:2933(prod)
    27927    0.028    0.000    0.031    0.000 C:\Users\richa\anaconda3\envs\main-ddpg-tf27\lib\site-packages\tensorflow\python\framework\dtypes.py:682(as_dtype)
    69888    0.028    0.000    0.328    0.000 C:\Users\richa\anaconda3\envs\main-ddpg-tf27\lib\site-packages\cvxpy\expressions\expression.py:467(cast_to_const)
 1536/768    0.027    0.000   10.138    0.013 C:\Users\richa\anaconda3\envs\main-ddpg-tf27\lib\site-packages\cplex-20.1.0.0-py3.7.egg\cplex\_internal\_subinterfaces.py:4019(set_quadratic)
     7680    0.027    0.000    0.306    0.000 C:\Users\richa\anaconda3\envs\main-ddpg-tf27\lib\site-packages\cvxpy\expressions\constants\constant.py:41(__init__)
      768    0.027    0.000    0.589    0.001 C:\Users\richa\anaconda3\envs\main-ddpg-tf27\lib\site-packages\cvxpy\utilities\coeff_extractor.py:90(extract_quadratic_coeffs)
    56832    0.026    0.000    0.026    0.000 C:\Users\richa\anaconda3\envs\main-ddpg-tf27\lib\site-packages\scipy\_lib\_util.py:143(_prune_array)
    33755    0.026    0.000    0.035    0.000 C:\Users\richa\anaconda3\envs\main-ddpg-tf27\lib\site-packages\cplex-20.1.0.0-py3.7.egg\cplex\_internal\_ostream.py:146(flush)
      768    0.026    0.000    0.035    0.000 C:\Users\richa\anaconda3\envs\main-ddpg-tf27\lib\site-packages\cplex-20.1.0.0-py3.7.egg\cplex\_internal\_parameter_hierarchy.py:135(mip_limits_members)
